ERC_ID,ERC_Title,ERC_Definition,ICD_MMS_Code,ICD_MMS_Title,ICD_Search_Title,ICD_Search_Definition,Search_Synonyms,Rank,Similarity_Score,Relationship
C292,Sport building,A facility with at least one pool that can be filled with water and used for swimming,XE9DN,"Part of building or grounds, other specified sporting facility","part of building or grounds, other specified sporting facility",,,1,0.621099591255188,ERC-Narrower
C293,Sport building,Facility intended for the use of projectile weapons,XE557,Other specified sports projectile,other specified sports projectile,,,1,0.6623864769935608,ERC-Narrower
C210,Military building,Building used by armed forces,XE11T,Building under construction,building under construction,,,1,0.5301191210746765,ERC-Broader
C2101,Military building,Buildings for training and housing military personnel,XE7GY,"Recreational area, cultural area, or public building","recreational area, cultural area, or public building",,,1,0.5454461574554443,ERC-Broader
C2102,Military building,Living quarters for military personnel,XE1LE,"Residential caravan, mobile home, houseboat or motor home","residential caravan, mobile home, houseboat or motor home",,,1,0.4660724401473999,Related to
C2103,Military building,Storage facilities for weapons and military equipment,XE7T4,Industrial or construction area,industrial or construction area,,,1,0.45219290256500244,Related to
C211,Special building,Buildings for specific purposes,XE774,Non-cultural public building,non-cultural public building,,,1,0.6496559977531433,ERC-Narrower
C2111,Special building,Secure building for housing individuals in custody or serving sentences.,XE0RZ,"Type of legal intervention, handling, transporting, or custody of prisoner","type of legal intervention, handling, transporting, or custody of prisoner",,,1,0.531576931476593,ERC-Broader
C2112,Special building,"Buildings for boarding, alighting, and managing train operations",XE9L8,"Part of building or grounds, elevator","part of building or grounds, elevator",,,1,0.5197188854217529,ERC-Broader
C2113,Special building,"Building for air travel, including passenger terminals, runways, and control towers",XE4U5,"Part of building or grounds, balcony","part of building or grounds, balcony",,,1,0.5417037010192871,ERC-Broader
C2114,Special building,"Building for docking ships, handling cargo, and passenger transportation by sea",XE7T4,Industrial or construction area,industrial or construction area,,,1,0.43414464592933655,Related to
C2115,Special building,"Building for communal religious activities, ceremonies, and worship",XE0ES,Public religious place,public religious place,,,1,0.7904731035232544,Equivalent
D1,General living,Room used for daily living activities.,XE1M5,"Part of building or grounds, living room","part of building or grounds, living room",,,1,0.6935120820999146,ERC-Narrower
D11,General living,Entry area leading into the living room,XE1M5,"Part of building or grounds, living room","part of building or grounds, living room",,,1,0.6032531261444092,ERC-Narrower
D12,General living,"Room for relaxation and socializing typically features comfortable seating like sofas, chairs, and entertainment systems.",XE1DK,Dining room or kitchen table,dining room or kitchen table,,,1,0.5549889206886292,ERC-Broader
D13,General living,"Private room designed for sleeping and personal use, designed for adults/teens",XE8RZ,"Part of building or grounds, bedroom","part of building or grounds, bedroom",,,1,0.6635885238647461,ERC-Narrower
D14,General living,A space for eating meals,XE1DK,Dining room or kitchen table,dining room or kitchen table,,,1,0.6405534744262695,ERC-Narrower
D15,General living,Room for changing clothes,XE1M5,"Part of building or grounds, living room","part of building or grounds, living room",,,1,0.5264138579368591,ERC-Broader
D16,General living,"Rooms for storing clothes, shoes, and accessories",XE8RZ,"Part of building or grounds, bedroom","part of building or grounds, bedroom",,,1,0.5270239114761353,ERC-Broader
D17,General living,"Elevated room attached to the house offers a private outdoor space for sitting or relaxing, usually with a view",XE4U5,"Part of building or grounds, balcony","part of building or grounds, balcony",,,1,0.7491852641105652,Equivalent
D18,General living,Room between the roof and the top floor,XE1M5,"Part of building or grounds, living room","part of building or grounds, living room",,,1,0.6086668372154236,ERC-Narrower
D19,General living,Underground room under a house.,XE1M5,"Part of building or grounds, living room","part of building or grounds, living room",,,1,0.6713724136352539,ERC-Narrower
D110,General living,Room between other rooms that mainly has a separating and connecting function.,XE6ZJ,"Part of building or grounds, corridor","part of building or grounds, corridor",,,1,0.6850300431251526,ERC-Narrower
