Query,URI,Title,Definition,Synonyms,Parent_URI,Children
Driveway,http://id.who.int/icd/entity/1202200635,Taking care of walkways and driveways,"Taking care of domestic pathways such as walkways and driveways or entrances to houses (covered or uncovered) for example removing snow, leaves, rubble or sand from enrances as well as spreading sand or other material.",,,[]
Sports and Entertainment,http://id.who.int/icd/entity/830452744,"Type of sport or exercise activity, professional wrestling - entertainment style",,,,[]
Square,http://id.who.int/icd/entity/637779994,Macrosquare-wave jerks,,"Square-wave pulses, >0.5 degrees",,[]
Square,http://id.who.int/icd/entity/156510987,"Square-wave jerks, 0.1-0.4 degrees",,,,[]
Walkway,http://id.who.int/icd/entity/1202200635,Taking care of walkways and driveways,"Taking care of domestic pathways such as walkways and driveways or entrances to houses (covered or uncovered) for example removing snow, leaves, rubble or sand from enrances as well as spreading sand or other material.",,,[]
Agricultural land,http://id.who.int/icd/entity/667693441,Agricultural tractor as counterpart in land transport crash,,,,[]
Agricultural land,http://id.who.int/icd/entity/419014753,Special vehicle mainly used in agriculture as counterpart in land transport crash,"A motor vehicle designed specifically for use in farming and agriculture (horticulture), for example to work the land, tend and harvest crops and transport materials on the farm.",,,[]
Agricultural land,http://id.who.int/icd/entity/207247135,Self-propelled agricultural machine as counterpart in land transport crash,,,,[]
Agricultural land,http://id.who.int/icd/entity/187314448,Unintentional land transport traffic event injuring a user of a special vehicle mainly used in agriculture,,occupant of special vehicle mainly used in agriculture injured in transport accident; Special-agricultural-vehicle accident NOS,,[]
Agricultural land,http://id.who.int/icd/entity/648672667,Unintentional land transport nontraffic event injuring a user of a special vehicle mainly used in agriculture,,,,[]
Agricultural land,http://id.who.int/icd/entity/24783331,Land transport traffic injury event of undetermined intent injuring a user of a special vehicle mainly used in agriculture,,,,[]
Agricultural land,http://id.who.int/icd/entity/650926840,Land transport nontraffic injury event of undetermined intent injuring a user of a special vehicle mainly used in agriculture,,,,[]
Agricultural land,http://id.who.int/icd/entity/548807869,Unintentional land transport event unknown whether traffic or nontraffic injuring an occupant of a special vehicle mainly used in agriculture,,,,[]
Agricultural land,http://id.who.int/icd/entity/759116234,"Assault by land transport traffic event injuring occupant of special vehicle mainly used in agriculture, except tractor",,,,[]
Agricultural land,http://id.who.int/icd/entity/952555827,"Land transport injury event of undetermined intent, unknown whether road traffic or off-road nontraffic injuring a user of a special vehicle mainly used in agriculture",,,,[]
Dam,http://id.who.int/icd/entity/1712732076,Lacrimation disorder (TM2),,(a) srāvaḥ (b) Nīr vari (c) Dam‘a,,[]
Dam,http://id.who.int/icd/entity/1415223757,Impairment of Dam disorder (TM2),,(c) Fasād al-Dam,,[]
Dam,http://id.who.int/icd/entity/1165413146,Predominance of Dam pattern (TM2),,(c) Ghalaba’-i-Dam,,[]
Dam,http://id.who.int/icd/entity/782160949,Haematuria disorder (TM2),,(a) lohitamehaḥ (b) Aẕal Nīrccurukku (c) Bawl al-Dam,,[]
Dam,http://id.who.int/icd/entity/964148685,Hematidrosis disorder (TM2),,(c) ‘Araq al-Dam,,[]
Dam,http://id.who.int/icd/entity/207332989,Blood deficiency pattern (TM2),,(c) qellat-e khoon; (c) Qilla al-Dam,,[]
Dam,http://id.who.int/icd/entity/2107857855,Haemoptysis disorder (TM2),,(c) Nafth al-Dam,,[]
Dam,http://id.who.int/icd/entity/2027662198,Haematemesis disorder (TM2),,(b) Kuruti vānti (c) Qay’ al-Dam,,[]
Dam,http://id.who.int/icd/entity/114688273,Blood thinning pattern (TM2),,(c) reqqat-e khoon; (c) Riqqa al-Dam,,[]
Dam,http://id.who.int/icd/entity/704508337,Blood thickening pattern (TM2),,(c) ghelzat-e khoon; (c) Ghilẓa al-Dam,,[]
Dam,http://id.who.int/icd/entity/149303363,Blood hyperviscosity pattern (TM2),,(c) lozoujat-e khoon; (c) Luzūja al-Dam,,[]
Dam,http://id.who.int/icd/entity/583544121,Anaemia disorder (TM2),,(a) pāṇḍurogaḥ (b) Veḷuppu nōy (c) Faqr al-Dam; (b) Veluppu Noi,,[]
Dam,http://id.who.int/icd/entity/945194429,"Body of water, dam, lake",,,,[]
